Word,Level,Weight,Length,Start,End
Identifying Sarcasm in Twitter: A Closer Look,1,3.980244768572628,2,2012,
Learning Semantic Correspondences with Less Supervision,1,6.5746922884123125,4,2010,
Extending The BLEU MT Evaluation Method With Frequency Weightings,1,4.236530698587006,3,2005,2007
Generative Models For Statistical Parsing With Combinatory Categorial Grammar,1,10.468969045028741,5,2003,2007
Parsing As Natural Deduction,1,7.190973282136856,13,1990,2002
University Of Sheffield: Description Of The LaSIE System As Used For MUC-6,1,8.211884751215552,6,1996,2001
New Results With The Lincoln Tied-Mixture HMM CSR System,1,4.046074762375504,2,1991,1992
Dependency-Based Construction of Semantic Space Models,1,11.83657383727342,4,2010,
Computer Generation Of Multiparagraph English Text,1,7.662274675842949,12,1981,1992
Distributed Word Clustering for Large Scale Class-Based Language Modeling in Machine Translation,1,4.2990771113573505,3,2011,
Upper Modeling: Organizing Knowledge For Natural Language Processing,1,6.8318754522245095,13,1990,2002
Using Mostly Native Data to Correct Errors in Learners’ Writing,1,5.703250002518828,3,2011,
Automatic Committed Belief Tagging,1,4.115268449431285,2,2012,
METEOR-NEXT and the METEOR Paraphrase Tables: Improved Evaluation Support for Five Target Languages,1,4.974840603079926,3,2011,
A Sentimental Education: Sentiment Analysis Using Subjectivity Summarization Based On Minimum Cuts,1,8.997332354417459,7,2005,2011
An End-To-End Discriminative Approach To Machine Translation,1,5.693244429326631,7,2007,
Investigating Cue Selection And Placement In Tutorial Discourse,1,7.434530965555168,8,1996,2003
Automatic Retrieval and Clustering of Similar Words,1,20.416125230219258,8,2002,2009
The (Non)Utility Of Predicate-Argument Frequencies For Pronoun Interpretation,1,4.656847641953933,4,2004,2007
Topic Identification for Fine-Grained Opinion Analysis,1,4.02726612259613,2,2009,2010
On Reasoning With Ambiguities,1,4.094552218334172,5,1996,2000
Getting the Structure Right for Word Alignment: LEAF,1,7.130770890801468,2,2009,2010
Target-dependent Twitter Sentiment Classification,1,7.519080435298682,2,2012,
VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations,1,7.089882146649849,5,2005,2009
Generating High-Coverage Semantic Orientation Lexicons From Overtly Marked Words and a Thesaurus,1,4.299077111357344,3,2011,
XTAG System - A Wide Coverage Grammar For English,1,4.740058642250135,8,1995,2002
Event Extraction as Dependency Parsing,1,3.908642064932811,3,2011,
Stochastic Lexicalized Tree-Adjoining Grammars,1,16.324174377114204,12,1992,2003
The Whiteboard Architecture: A Way To Integrate Heterogeneous Components Of NLP Systems,1,4.36399923800254,5,1994,1998
Co-Training for Cross-Lingual Sentiment Classification,1,8.004576425850496,2,2010,2011
Arabic Preprocessing Schemes For Statistical Machine Translation,1,6.41629371334457,2,2008,2009
Disambiguation Of Proper Names In Text,1,11.816613624385191,6,1998,2003
Combining Knowledge Sources To Reorder N-Best Speech Hypothesis Lists,1,4.294272232186022,5,1994,1998
Describing Complex Charts In Natural Language: A Caption Generation System,1,7.059002270025051,6,1999,2004
Introduction To The Special Issue On Computational Linguistics Using Large Corpora,1,11.965697133102326,11,1993,2003
The Web As A Baseline: Evaluating The Performance Of Unsupervised Web-Based Models For A Range Of NLP Tasks,1,8.295139638169674,3,2005,2007
Phrase Clustering for Discriminative Learning,1,5.600367064927447,4,2010,
A Fully Statistical Approach To Natural Language Interfaces,1,4.7364512043624245,10,1997,2006
An Unsupervised Aspect-Sentiment Model for Online Reviews,1,4.299077111357358,3,2011,
Learning Extraction Patterns For Subjective Expressions,1,5.956364950377902,2,2005,2006
Robust Machine Translation Evaluation with Entailment Features,1,6.615634104639572,4,2010,
Dependency-based Syntactic–Semantic Analysis with PropBank and NomBank,1,6.117251879256824,5,2009,
Collective Cross-Document Relation Extraction Without Labelled Data,1,5.126607797787594,3,2011,
Parsing And Derivational Equivalence,1,6.265523914220236,14,1989,2002
Head Corner Parsing For Discontinuous Constituency,1,3.96732515017852,8,1991,1998
Unsupervised Part-Of-Speech Tagging Employing Efficient Graph Clustering,1,5.945352788317573,5,2007,2011
Machine Translation Using Probabilistic Synchronous Dependency Insertion Grammars,1,10.182696692452222,3,2006,2008
The Distributional Inclusion Hypotheses And Lexical Entailment,1,6.1766474162971186,4,2006,2009
Better Arabic Parsing: Baselines Evaluations and Analysis,1,4.61943131484467,3,2011,
Learning Context-Dependent Mappings from Sentences to Logical Form,1,4.626145080979549,4,2010,
Machine Translation with a Stochastic Grammatical Channel,1,5.145403957138412,9,1999,2007
Conciseness Through Aggregation In Text Generation,1,4.3062919922903795,9,1997,2005
Online EM for Unsupervised Models,1,4.139072798522579,4,2010,
Noun Phrase Recognition By System Combination,1,5.4604315243425345,6,2000,2005
Named Entity Extraction Based On A Maximum Entropy Model And Transformation Rules,1,4.019672689708482,4,2001,2004
Improving Machine Translation Performance By Exploiting Non-Parallel Corpora,1,8.405131828806532,4,2010,
A Statistical Approach To Anaphora Resolution,1,17.2313033207763,7,1999,2005
A Morphological Recognizer With Syntactic And Phonological Rules,1,6.909141324807243,12,1987,1998
NPtool A Detector Of English Noun Phrases,1,6.9514328661709515,7,1994,2000
Text Segmentation Based On Similarity Between Words,1,11.428578808945403,10,1994,2003
Maximum Entropy Models For FrameNet Classification,1,7.288652127667608,3,2004,2006
A New Dataset and Method for Automatically Grading ESOL Texts,1,10.616210644004102,2,2012,
Two Languages Are More Informative Than One,1,20.491070479911436,9,1991,1999
Extracting Product Features And Opinions From Reviews,1,9.53049267921498,5,2006,2010
Syntax-Driven Learning of Sub-Sentential Translation Equivalents and Translation Rules from Parsed Parallel Corpora,1,4.135053449505751,3,2009,2011
Constraint Projection: An Efficient Treatment Of Disjunctive Feature Descriptions,1,3.9647263412661804,9,1992,2000
Degrees Of Stativity: The Lexical Representation Of Verb Aspect,1,5.3722008329214725,5,1997,2001
Reducing Grounded Learning Tasks To Grammatical Inference,1,5.307215445427916,2,2012,
Semantic Interpretation Using KL-One,1,4.332787492689362,9,1986,1994
Mining WordNet For A Fuzzy Sentiment: Sentiment Tag Extraction From WordNet Glosses,1,5.310832274686968,5,2007,2011
Hierarchical Clustering Of Words,1,3.952429204037034,11,1996,2006
Detecting Patterns In A Lexical Data Base,1,10.860177428568424,14,1985,1998
Rule Writing Or Annotation: Cost-Efficient Resource Usage For Base Noun Phrase Chunking,1,5.5563247880502615,10,2000,2009
*SEM 2013 shared task: Semantic Textual Similarity,1,9.857578978008679,1,2013,
Automatic Acquisition of Hierarchical Transduction Models for Machine Translation,1,4.490448539490832,9,1999,2007
HHMM-Based Chinese Lexical Analyzer ICTCLAS,1,4.559350811198379,3,2004,2006
BYBLOS Speech Recognition Benchmark Results,1,4.652463157839859,3,1991,1993
Semantic Role Labeling Via Integer Linear Programming Inference,1,7.291771621680281,2,2005,2006
Acquiring Disambiguation Rules From Text,1,12.173138074210456,10,1990,1999
Exploiting Parallel Texts For Word Sense Disambiguation: An Empirical Study,1,4.872064434835015,3,2005,2007
The Importance Of Supertagging For Wide-Coverage CCG Parsing,1,7.272546018375649,2,2006,2007
Semantic-Head-Driven Generation,1,24.49870260763328,12,1990,2001
A Fully-Lexicalized Probabilistic Model For Japanese Syntactic And Case Structure Analysis,1,4.413207504675922,3,2007,2009
Two Languages are Better than One (for Syntactic Parsing),1,9.421797948539865,5,2009,
Modeling Negotiation Subdialogues,1,6.6160745167766395,7,1993,1999
Automatic Discovery of Part-Whole Relations,1,4.963590586512296,3,2008,2010
Sample Selection For Statistical Grammar Induction,1,6.237491907714835,4,2001,2004
Feature Structures And Nonmonotonicity,1,4.612684167787217,8,1992,1999
Predictive Combinators: A Method For Efficient Processing Of Combinatory Categorical Grammars,1,8.26954476529084,10,1988,1997
Non-Projective Dependency Parsing in Expected Linear Time,1,5.113243169076346,4,2010,
Methods For Using Textual Entailment In Open-Domain Question Answering,1,4.866034031316438,4,2007,2010
Encoding And Acquiring Meanings For Figurative Phrases,1,4.5865879838385455,6,1987,1992
Using Contextual Speller Techniques and Language Modeling for ESL Error Correction,1,7.622573369379387,3,2009,2011
Statistical Parsing With An Automatically-Extracted Tree Adjoining Grammar,1,13.0699924854649,3,2001,2003
SemEval-2007 Task 09: Multilevel Semantic Annotation of Catalan and Spanish,1,4.538189402432534,3,2007,2009
An Earley-Type Parsing Algorithm For Tree Adjoining Grammars,1,7.79875372253177,12,1988,1999
Utilizing Domain-Specific Information For Processing Compact Text,1,4.7213200502433335,7,1983,1989
New Ranking Algorithms For Parsing And Tagging: Kernels Over Discrete Structures And The Voted Perceptron,1,13.246676588995882,5,2003,2007
Inducing History Representations For Broad Coverage Statistical Parsing,1,8.534015131386276,4,2004,2007
Using An Annotated Corpus As A Stochastic Grammar,1,4.692663369174722,6,1995,2000
Incorporating GENETAG-style annotation to GENIA corpus,1,5.438948924310667,2,2010,2011
Annotation Strategies For Probabilistic Parsing In German,1,3.8908297617825216,4,2005,2008
Example-Based Machine Translation In The Pangloss System,1,7.117671948535568,7,1997,2003
Improving Summaries By Revising Them,1,7.927970862894823,6,2000,2005
Efficient Probabilistic Top-Down And Left-Corner Parsing,1,4.018978970307266,5,2000,2004
Extracting Complex Biological Events with Rich Graph-Based Feature Sets,1,10.77410332548696,2,2010,2011
Survey Article: Inter-Coder Agreement for Computational Linguistics,1,10.32653169603267,5,2009,
Automatically Evaluating Text Coherence Using Discourse Relations,1,3.9802447685726374,2,2012,
Cross-Language Parser Adaptation between Related Languages,1,3.9261553442667623,3,2011,
Bootstrapping Deep Lexical Resources: Resources For Courses,1,4.668373609988528,3,2006,2008
The ATIS Spoken Language Systems Pilot Corpus,1,16.75768414216811,10,1990,1999
Latent Semantic Analysis For Text Segmentation,1,4.543895946079962,6,2002,2007
Examining The Consensus Between Human Summaries: Initial Experiments With Factoid Analysis,1,6.326848302678794,3,2004,2006
Models Of Translational Equivalence Among Words,1,13.624830169512721,7,2001,2007
Some Applications Of Tree-Based Modelling To Speech And Language,1,5.1542252674399665,13,1991,2003
Morphology With Two-Level Rules And Negative Rule Features,1,4.932798374862051,12,1989,2000
Some Computational Complexity Results For Synchronous Context-Free Grammars,1,3.8909311633921866,4,2006,2009
Description Of The UMass System As Used For MUC-6,1,6.205622807892254,8,1997,2004
Using Predicate-Argument Structures For Information Extraction,1,14.161299793010999,2,2004,2005
Document Structure,1,4.515474619991568,5,2004,2008
GPSM: A Generalized Probabilistic Semantic Model For Ambiguity Resolution,1,5.895550898110232,8,1992,1999
Identifying Topics By Position,1,4.986146874303958,8,1997,2004
The Pragmatics Of Referring And The Modality Of Communication,1,6.882508877766963,13,1985,1997
A Joint Model of Text and Aspect Ratings for Sentiment Summarization,1,7.085548007069142,3,2009,2011
Design Of A Knowledge-Based Report Generator,1,5.32932398216445,15,1984,1998
Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,1,43.62411303537069,11,1996,2006
Multi-Level Translation Aids In A Distributed System,1,4.534373240656456,10,1983,1992
Semantically Significant Patterns In Dictionary Definitions,1,10.94055947387644,12,1987,1998
Learning Accurate Compact And Interpretable Tree Annotation,1,20.405920135160105,4,2010,
The TIPSTER SUMMAC Text Summarization Evaluation,1,7.333945545543353,6,1999,2004
A Noisy-Channel Approach To Question Answering,1,4.313304018081395,2,2004,2005
Distant supervision for relation extraction without labeled data,1,16.495895973791235,3,2011,
Automatic Evaluation of Translation Quality for Distant Language Pairs,1,4.619431314844669,3,2011,
An Automatic Method Of Finding Topic Boundaries,1,6.915747596896871,9,1995,2003
Transformation Based Learning In The Fast Lane,1,17.327701507310447,6,2001,2006
Joint Decoding with Multiple Translation Models,1,4.365458095531781,4,2010,
Mapping WordNets Using Structural Information,1,3.8957057594559337,9,2001,2009
Analysis Of Conjunctions In A Rule-Based Parser,1,4.3976995901758436,9,1986,1994
Statistical Models For Topic Segmentation,1,4.332805984953628,7,2000,2006
Deciphering Foreign Language by Combining Language Models and Context Vectors,1,4.928162209799619,1,2013,
Capitalizing Machine Translation,1,4.349257417913963,3,2007,2009
Supertagging: An Approach To Almost Parsing,1,11.170445362829543,8,2000,2007
Crowdsourcing Translation: Professional Quality from Non-Professionals,1,4.974840603079922,3,2011,
A Decision Tree Of Bigrams Is An Accurate Predictor Of Word Sense,1,9.052534529283045,3,2002,2004
Re-Evaluation The Role Of Bleu In Machine Translation Research,1,13.272936130188164,4,2006,2009
The Practical Value Of N-Grams Is In Generation,1,8.830848285328674,7,2000,2006
Estimators For Stochastic Unification-Based Grammars,1,21.1093860581515,8,2000,2007
Minimum Bayes-Risk Decoding For Statistical Machine Translation,1,9.232851948914034,2,2009,2010
The Intonational Structuring Of Discourse,1,8.674865766318609,12,1986,1997
A Rule-Based Approach To Ill-Formed Input,1,4.130948462251897,4,1981,1984
Large Scale Decipherment for Out-of-Domain Machine Translation,1,4.928162209799619,1,2013,
Literal and Metaphorical Sense Identification through Concrete and Abstract Context,1,4.422555969023778,2,2012,
The Lincoln Continuous Tied-Mixture HMM Speech Recognizer*,1,3.999001954040703,3,1990,1992
Indirect Responses To Loaded Questions,1,4.827205724664386,4,1980,1983
Inheritance In Natural Language Processing,1,4.209990015416319,7,1993,1999
Use Of Support Vector Learning For Chunk Identification,1,10.787778423290426,6,2001,2006
Inducing Compact but Accurate Tree-Substitution Grammars,1,3.9328096520699343,4,2010,
An All-Subtrees Approach To Unsupervised Parsing,1,5.02863566707775,5,2007,2011
Lexical Disambiguation Using Simulated Annealing,1,9.58404306566397,7,1993,1999
Detecting A Continuum Of Compositionality In Phrasal Verbs,1,5.848450340580856,4,2004,2007
Experience With An Easily Computed Metric For Ranking Alternative Parses,1,6.952463964117789,12,1982,1993
Exploring Adaptor Grammars for Native Language Identification,1,5.475813221431289,1,2013,
Sentiment Classification On Customer Feedback Data: Noisy Data Large Feature Vectors And The Role Of Linguistic Analysis,1,3.8665694844040095,3,2009,2011
Web-Scale Distributional Similarity and Entity Set Expansion,1,11.239249872951023,4,2010,
Translation By Quasi Logical Form Transfer,1,6.620324461056048,7,1992,1998
The Collection And Preliminary Analysis Of A Spontaneous Speech Database,1,5.218060336516636,4,1990,1993
Inducing German Semantic Verb Classes From Purely Syntactic Subcategorisation Information,1,7.560783883455023,6,2002,2007
Dependency Tree Kernels For Relation Extraction,1,16.730883857199007,5,2005,2009
A Rich Environment For Experimentation With Unification Grammars,1,7.8344165332054345,9,1989,1997
Lexical Operations In A Unification-Based Framework,1,5.525692560731074,7,1991,1997
Automatic Adaptation of Annotation Standards: Chinese Word Segmentation and POS Tagging – A Case Study,1,4.139072798522573,4,2010,
The Semantics Of Grammar Formalisms Seen As Computer Languages,1,11.21175078991553,8,1984,1991
A Polynomial-Time Algorithm For Statistical Machine Translation,1,6.542507252459946,5,2003,2007
A Maximum-Entropy Partial Parser For Unrestricted Text,1,4.98326124842624,6,1999,2004
A Monolingual Tree-based Translation Model for Sentence Simplification,1,6.7520336937746,3,2011,
How Verb Subcategorization Frequencies are Affected by Corpus Choice,1,3.898214750878611,9,1998,2006
Meteor M-BLEU and M-TER: Evaluation Metrics for High-Correlation with Human Rankings of Machine Translation Output,1,4.828329420083659,3,2009,2011
