title,indegree
Text Chunking Using Transformation-Based Learning,161
Automatic Word Sense Discrimination,159
Improved Inference for Unlexicalized Parsing,159
A Machine Learning Approach To Coreference Resolution Of Noun Phrases,155
Automatic Evaluation Of Summaries Using N-Gram Co-Occurrence Statistics,154
The CoNLL 2007 Shared Task on Dependency Parsing,153
Three New Probabilistic Models For Dependency Parsing: An Exploration,143
Scalable Inference And Training Of Context-Rich Syntactic Translation Models,143
A Sentimental Education: Sentiment Analysis Using Subjectivity Summarization Based On Minimum Cuts,141
METEOR: An Automatic Metric For MT Evaluation With Improved Correlation With Human Judgments,135
A New Statistical Parser Based On Bigram Lexical Dependencies,135
Shallow Parsing With Conditional Random Fields,132
Clause Restructuring For Statistical Machine Translation,131
ROUGE: A Package For Automatic Evaluation Of Summaries,129
A Simple Rule-Based Part Of Speech Tagger,127
Unsupervised Models For Named Entity Classification,122
Online Learning Of Approximate Dependency Parsing Algorithms,122
Statistical Decision-Tree Models For Parsing,121
Word-Sense Disambiguation Using Statistical Models Of Roget's Categories Trained On Large Corpora,119
Improving Machine Learning Approaches To Coreference Resolution,118
Predicting The Semantic Orientation Of Adjectives,118
What's In A Translation Rule?,115
Cheap and Fast â But is it Good? Evaluating Non-Expert Annotations for Natural Language Tasks,114
The Penn Treebank: Annotating Predicate Argument Structure,113
An Algorithm For Pronominal Anaphora Resolution,111
Retrieving Collocations From Text: Xtract,110
Noun Classification From Predicate-Argument Structures,110
A Phrase-Based Joint Probability Model For Statistical Machine Translation,109
Introduction To The CoNLL-2003 Shared Task: Language-Independent Named Entity Recognition,109
Paraphrasing With Bilingual Parallel Corpora,106
Dependency Tree Kernels For Relation Extraction,105
Lexical Cohesion Computed By Thesaural Relations As An Indicator Of The Structure Of Text,105
Dependency Treelet Translation: Syntactically Informed Phrasal SMT,105
Improved Alignment Models For Statistical Machine Translation,105
Tagging English Text With A Probabilistic Model,104
Introduction To The CoNLL-2005 Shared Task: Semantic Role Labeling,103
A Model-Theoretic Coreference Scoring Scheme,102
Learning To Paraphrase: An Unsupervised Approach Using Multiple-Sequence Alignment,102
Automatic Identification Of Word Translations From Unrelated English And German Corpora,101
Tree-To-String Alignment Template For Statistical Machine Translation,101
New Ranking Algorithms For Parsing And Tagging: Kernels Over Discrete Structures And The Voted Perceptron,100
An Empirical Study Of Smoothing Techniques For Language Modeling,100
PCFG Models Of Linguistic Tree Representations,99
Word Association Norms Mutual Information And Lexicography,99
Learning Surface Text Patterns For A Question Answering System,97
Structural Ambiguity And Lexical Relations,97
A Procedure For Quantitatively Comparing The Syntactic Coverage Of English Grammars,96
Extracting Paraphrases From A Parallel Corpus,96
Head-Driven Statistical Models For Natural Language Parsing,96
Nymble: A High-Performance Learning Name-Finder,96
Extracting Product Features And Opinions From Reviews,96
Alignment By Agreement,95
A Practical Part-Of-Speech Tagger,94
Corpus-Based Induction Of Syntactic Structure: Models Of Dependency And Constituency,94
Machine Transliteration,94
TextTiling: Segmenting Text Into Multi-Paragraph Subtopic Passages,92
A Centering Approach To Pronouns,92
The Second Release Of The RASP System,91
Determining The Sentiment Of Opinions,91
Simple Semi-supervised Dependency Parsing,91
Chunking With Support Vector Machines,90
Better K-Best Parsing,90
GATE: A Framework And Graphical Development Environment For Robust NLP Tools And Applications,90
Integrating Multiple Knowledge Sources To Disambiguate Word Sense: An Exemplar-Based Approach,89
A Program For Aligning Sentences In Bilingual Corpora,89
Inside-Outside Reestimation From Partially Bracketed Corpora,88
Introduction To The CoNLL-2000 Shared Task: Chunking,86
Calibrating Features For Semantic Role Labeling,85
Syntax Augmented Machine Translation Via Chart Parsing,85
A Semantic Concordance,85
Automatic Extraction Of Subcategorization From Corpora,85
Forest Reranking: Discriminative Parsing with Non-Local Features,85
Learning Extraction Patterns For Subjective Expressions,84
Parsing The Wall Street Journal Using A Lexical-Functional Grammar And Discriminative Estimation Techniques,84
Towards Answering Opinion Questions: Separating Facts From Opinions And Identifying The Polarity Of Opinion Sentences,83
Contrastive Estimation: Training Log-Linear Models On Unlabeled Data,82
Corpus Variation And Parser Performance,82
Effective Self-Training For Parsing,82
Regular Models Of Phonological Rule Systems,81
Large Language Models in Machine Translation,81
Factored Translation Models,81
Frustratingly Easy Domain Adaptation,80
Forest Rescoring: Faster Decoding with Integrated Language Models,80
Finding Predominant Word Senses In Untagged Text,79
OntoNotes: The 90% Solution,79
The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies,79
Minimum Bayes-Risk Decoding For Statistical Machine Translation,79
Verb Semantics And Lexical Selection,79
Arabic Tokenization Part-Of-Speech Tagging And Morphological Disambiguation In One Fell Swoop,79
Multi-Paragraph Segmentation Of Expository Text,78
Biographies Bollywood Boom-boxes and Blenders: Domain Adaptation for Sentiment Classification,78
Overview of BioNLP’09 Shared Task on Event Extraction,78
Vector-based Models of Semantic Composition,78
A Linear Observed Time Statistical Parser Based On Maximum Entropy Models,77
An IR Approach for Translating New Words from Nonparallel Comparable Texts,77
Measures Of Distributional Similarity,77
Word-Sense Disambiguation Using Statistical Methods,77
Generation that Exploits Corpus-Based Statistical Knowledge,77
Decision Lists For Lexical Ambiguity Resolution: Application To Accent Restoration In Spanish And French,76
Supertagging: An Approach To Almost Parsing,76
Pseudo-Projective Dependency Parsing,76
Learning Non-Isomorphic Tree Mappings For Machine Translation,76
Models Of Translational Equivalence Among Words,76
A Comparison Of Algorithms For Maximum Entropy Parameter Estimation,75
Unsupervised Learning Of The Morphology Of A Natural Language,75
Using Predicate-Argument Structures For Information Extraction,75
Aligning Sentences In Parallel Corpora,75
WordNet::Similarity - Measuring The Relatedness Of Concepts,75
Unsupervised Construction Of Large Paraphrase Corpora: Exploiting Massively Parallel News Sources,75
TextRank: Bringing Order Into Texts,73
Providing A Unified Account Of Definite Noun Phrases In Discourse,73
One Sense Per Discourse,73
Temporal Ontology And Temporal Reference,73
The Generative Lexicon,72
A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model,72
A fully Bayesian approach to unsupervised part-of-speech tagging,72
Coping With Ambiguity And Unknown Words Through Probabilistic Models,71
Probabilistic CFG With Latent Annotations,71
Intricacies Of Collins Parsing Model,71
A Smorgasbord Of Features For Statistical Machine Translation,71
Immediate-Head Parsing For Language Models,70
Wide-Coverage Efficient Statistical Parsing with CCG and Log-Linear Models,70
An End-To-End Discriminative Approach To Machine Translation,70
Improving A Statistical MT System With Automatically Learned Rewrite Patterns,69
A Unigram Orientation Model For Statistical Machine Translation,69
SPMT: Statistical Machine Translation With Syntactified Target Language Phrases,69
Parsing Strategies With 'Lexicalized' Grammars: Application To Tree Adjoining Grammars,69
A Shortest Path Dependency Kernel For Relation Extraction,68
VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations,68
Inducing Multilingual Text Analysis Tools Via Robust Projection Across Aligned Corpora,68
Translating Collocations For Bilingual Lexicons: A Statistical Approach,67
Using Lexical Chains For Text Summarization,66
Finding Parts In Very Large Corpora,66
Parsing The WSJ Using CCG And Log-Linear Models,66
Espresso: Leveraging Generic Patterns For Automatically Harvesting Semantic Relations,66
A Study On Convolution Kernels For Shallow Statistic Parsing,65
Empirical Methods For Compound Splitting,65
Improved Statistical Machine Translation Using Paraphrases,65
Evaluating WordNet-based Measures of Lexical Semantic Relatedness,65
Identifying Word Correspondences In Parallel Texts,65
The CoNLL-2009 Shared Task: Syntactic and Semantic Dependencies in Multiple Languages,65
Automatic Construction Of A Hypernym-Labeled Noun Hierarchy From Text,65
Estimators For Stochastic Unification-Based Grammars,65
Incremental Parsing With The Perceptron Algorithm,65
Re-Evaluation The Role Of Bleu In Machine Translation Research,65
The Necessity Of Parsing For Predicate Argument Recognition,65
Online Large-Margin Training of Syntactic and Structural Translation Features,64
Experiments with a Higher-Order Projective Dependency Parser,64
A Program For Aligning Sentences In Bilingual Corpora,63
Discriminative Reranking For Natural Language Parsing,63
Improvements In Phrase-Based Statistical Machine Translation,63
Prepositional Phrase Attachment Through A Backed-Off Model,63
Japanese Dependency Analysis Using Cascaded Chunking,63
The Penn Discourse TreeBank 2.0.,62
Distant supervision for relation extraction without labeled data,62
SemEval-2012 Task 6: A Pilot on Semantic Textual Similarity,62
One Sense Per Collocation,62
Domain Adaptation With Structural Correspondence Learning,62
A Rule-Based Approach To Prepositional Phrase Attachment Disambiguation,62
The Web As A Parallel Corpus,62
Shallow Semantic Parsing Using Support Vector Machines,62
Dialogue Act Modeling For Automatic Tagging And Recognition Of Conversational Speech,61
A Statistical Parser For Czech,61
A Linear Programming Formulation For Global Inference In Natural Language Tasks,61
A Maximum Entropy Approach To Identifying Sentence Boundaries,61
Monolingual Machine Translation For Paraphrase Generation,61
Integrating Graph-Based and Transition-Based Dependency Parsers,61
Improving Statistical Machine Translation Using Word Sense Disambiguation,61
Synchronous Tree-Adjoining Grammars,61
Multilingual Dependency Analysis With A Two-Stage Discriminative Parser,60
Entity-Based Cross-Document Core f erencing Using the Vector Space Model,60
Labeled Pseudo-Projective Dependency Parsing With Support Vector Machines,60
Automatic Verb Classification Based On Statistical Distributions Of Argument Structure,60
Characterizing the Errors of Data-Driven Dependency Parsing Models,59
Chinese Syntactic Reordering for Statistical Machine Translation,59
Improving Machine Translation Performance By Exploiting Non-Parallel Corpora,59
On Coreference Resolution Performance Metrics,58
Word Sense Disambiguation Using A Second Language Monolingual Corpus,58
Machine Translation Using Probabilistic Synchronous Dependency Insertion Grammars,58
Introduction To The CoNLL-2004 Shared Task: Semantic Role Labeling,58
Evaluating Content Selection In Summarization: The Pyramid Method,58
Phrasal Cohesion And Statistical Machine Translation,58
Catching The Drift: Probabilistic Content Models With Applications To Generation And Summarization,58
Using Restriction To Extend Parsing Algorithms For Complex-Feature-Based Formalisms,57
Semantic Taxonomy Induction From Heterogenous Evidence,57
The Automated Acquisition Of Topic Signatures For Text Summarization,57
Probabilistic Top-Down Parsing And Language Modeling,57
Prototype-Driven Learning For Sequence Models,57
MBT: A Memory-Based Part Of Speech Tagger-Generator,57
Identifying Word Translations In Non-Parallel Texts,57
Syntax-Based Alignment Of Multiple Translations: Extracting Paraphrases And Generating New Sentences,56
Scaling To Very Very Large Corpora For Natural Language Disambiguation,56
Word Sense Disambiguation Improves Statistical Machine Translation,56
Text-Translation Alignment,56
Semantic-Head-Driven Generation,56
11001 New Features for Statistical Machine Translation,55
Chinese Part-Of-Speech Tagging: One-At-A-Time Or All-At-Once? Word-Based Or Character-Based?,55
Maximum Entropy Based Phrase Reordering Model For Statistical Machine Translation,55
Grammatical Category Disambiguation By Statistical Optimization,55
A Mention-Synchronous Coreference Resolution Algorithm Based On The Bell Tree,54
Comlex Syntax: Building A Computational Lexicon,54
A Maximum Entropy Model For Prepositional Phrase Attachment,54
Early Results For Named Entity Recognition With Conditional Random Fields Feature Induction And Web-Enhanced Lexicons,54
Forest-Based Translation,54
Findings of the 2009 Workshop on Statistical Machine Translation,54
Word Representations: A Simple and General Method for Semi-Supervised Learning,54
Two Languages Are More Informative Than One,53
Combining Distributional And Morphological Information For Part Of Speech Induction,53
A Structured Vector Space Model for Word Meaning in Context,53
Seeing Stars: Exploiting Class Relationships For Sentiment Categorization With Respect To Rating Scales,53
SemEval-2007 Task 10: English Lexical Substitution Task,53
Generating Natural Language Summaries From Multiple On-Line Sources,53
A Simple and Effective Hierarchical Phrase Reordering Model,53
Further Meta-Evaluation of Machine Translation,52
Scaling Web-Based Acquisition Of Entailment Relations,52
A Corpus-Based Approach For Building Semantic Lexicons,52
Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora,52
Reranking And Self-Training For Parser Adaptation,52
Deterministic Dependency Parsing Of English Text,52
Summarizing Scientific Articles: Experiments With Relevance And Rhetorical Status,52
Exploiting A Probabilistic Hierarchical Model For Generation,52
Automatic Identification Of Non-Compositional Phrases,52
Inducing Multilingual POS Taggers And NP Bracketers Via Robust Projection Across Aligned Corpora,51
A Joint Source-Channel Model For Machine Transliteration,51
Manual And Automatic Evaluation Of Machine Translation Between European Languages,51
Computing Consensus Translation For Multiple Machine Translation Systems Using Enhanced Hypothesis Alignment,51
Using Encyclopedic Knowledge For Named Entity Disambiguation,51
Using Corpus Statistics And WordNet Relations For Sense Identification,51
Distributional Part-Of-Speech Tagging,51
Generalized Probabilistic LR Parsing Of Natural Language (Corpora) With Unification-Based Grammars,51
ORANGE: A Method For Evaluating Automatic Evaluation Metrics For Machine Translation,51
A Polynomial-Time Algorithm For Statistical Machine Translation,51
Decoding Complexity In Word-Replacement Translation Models,51
Large-Scale Named Entity Disambiguation Based on Wikipedia Data,51
A Statistical Approach To Anaphora Resolution,51
Toward Memory-Based Translation,50
Memory-Based Dependency Parsing,50
Fast Cheap and Creative: Evaluating Translation Quality Using Amazon’s Mechanical Turk,50
A Uniform Architecture For Parsing And Generation,50
Sentence Level Discourse Parsing Using Syntactic And Lexical Information,50
A Tale of Two Parsers: Investigating and Combining Graph-based and Transition-based Dependency Parsing,50
Dependency-Based Construction of Semantic Space Models,50
Max-Margin Parsing,50
Enriching The Knowledge Sources Used In A Maximum Entropy Part-Of-Speech Tagger,50
From Grammar To Lexicon: Unsupervised Learning Of Lexical Syntax,50
Introduction To The Special Issue On Word Sense Disambiguation: The State Of The Art,50
An Annotation Scheme For Free Word Order Languages,50
Findings of the 2012 Workshop on Statistical Machine Translation,49
Robust Temporal Processing Of News,49
A Problem For RST: The Need For Multi-Level Discourse Analysis,49
Parsing As Deduction,49
Synchronous Binarization For Machine Translation,49
Inducing A Semantically Annotated Lexicon Via EM-Based Clustering,49
Findings of the 2011 Workshop on Statistical Machine Translation,49
Joint Learning Improves Semantic Role Labeling,49
Dependency Parsing and Domain Adaptation with LR Models and Parser Ensembles,49
KenLM: Faster and Smaller Language Model Queries,49
A Stochastic Finite-State Word-Segmentation Algorithm For Chinese,48
CCGbank: A Corpus of CCG Derivations and Dependency Structures Extracted from the Penn Treebank,48
Anaphora For Everyone: Pronominal Anaphora Resolution Without A Parser,48
cdec: A Decoder Alignment and Learning Framework for Finite-State and Context-Free Translation Models,48
A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005,48
Learning A Translation Lexicon From Monolingual Corpora,48
Why Doesn't EM Find Good HMM POS-Taggers?,48
More Accurate Tests For The Statistical Significance Of Result Differences,48
A Bootstrapping Method For Learning Semantic Lexicons Using Extraction Pattern Contexts,47
An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora,47
Empirical Studies On The Disambiguation Of Cue Phrases,47
Chinese Segmentation And New Word Detection Using Conditional Random Fields,47
A Discriminative Matching Approach To Word Alignment,47
A Non-Projective Dependency Parser,47
The Stanford Typed Dependencies Representation,47
Efficient Third-Order Dependency Parsers,47
Experiments in Domain Adaptation for Statistical Machine Translation,47
Nouns are Vectors Adjectives are Matrices: Representing Adjective-Noun Constructions in Semantic Space,47
An Unsupervised Method For Word Sense Tagging Using Parallel Corpora,47
Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation,47
Learning Dependency Translation Models As Collections Of Finite-State Head Transducers,47
Characterizing Structural Descriptions Produced By Various Grammatical Formalisms,47
Use Of Support Vector Learning For Chunk Identification,47
Efficient Parsing For Bilexical Context-Free Grammars And Head Automaton Grammars,47
Word Sense Disambiguation Using Conceptual Density,46
Unsupervised Semantic Role Labeling,46
Joshua: An Open Source Toolkit for Parsing-Based Machine Translation,46
A Novel Use Of Statistical Parsing To Extract Information From Text,46
The Structure Of Shared Forests In Ambiguous Parsing,46
Fast Decoding And Optimal Decoding For Machine Translation,46
Learning Subjective Language,46
Learning Subjective Nouns Using Extraction Pattern Bootstrapping,46
An Evaluation Exercise For Word Alignment,46
A Logical Semantics For Feature Structures,46
Loosely Tree-Based Alignment For Machine Translation,46
An Improved Error Model For Noisy Channel Spelling Correction,46
(Meta-) Evaluation of Machine Translation,46
Char Align: A Program For Aligning Parallel Texts At The Character Level,45
Language Independent Named Entity Recognition Combining Morphological And Contextual Evidence,45
A Critique And Improvement Of An Evaluation Metric For Text Segmentation,45
Algorithms for Deterministic Incremental Dependency Parsing,45
A Generative Constituent-Context Model For Improved Grammar Induction,45
Robust Pronoun Resolution with Limited Knowledge,45
Statistical Parsing With An Automatically-Extracted Tree Adjoining Grammar,45
A Syntactic Analysis Method Of Long Japanese Sentences Based On The Detection Of Conjunctive Structures,45
Concise Integer Linear Programming Formulations for Dependency Parsing,44
Parallel Implementations of Word Alignment Tool,44
Tuning as Ranking,44
Probabilistic Text Structuring: Experiments With Sentence Ordering,44
Parser Combination By Reparsing,44
An Empirical Evaluation Of Knowledge Sources And Learning Algorithms For Word Sense Disambiguation,44
Automatic Evaluation Of Machine Translation Quality Using Longest Common Subsequence And Skip-Bigram Statistics,44
Robust Bilingual Word Alignment For Machine Aided Translation,44
Using The Web To Obtain Frequencies For Unseen Bigrams,44
Learning Bilingual Lexicons from Monolingual Corpora,44
Dynamic Programming for Linear-Time Incremental Parsing,44
Information Fusion In The Context Of Multi-Document Summarization,44
Extracting Semantic Hierarchies From A Large On-Line Dictionary,43
Discourse Segmentation Of Multi-Party Conversation,43
Making Tree Kernels Practical For Natural Language Learning,43
Parsing Algorithms And Metrics,43
Noun-Phrase Co-occurrence Statistics for Semi-Automatic Semantic Lexicon Construction,43
CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes,43
A Comparison Of Alignment Models For Statistical Machine Translation,43
Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming,43
Semantic Class Learning from the Web with Hyponym Pattern Linkage Graphs,43
Aligning Sentences In Bilingual Corpora Using Lexical Information,43
Combining Lexical Syntactic And Semantic Features With Maximum Entropy Models For Information Extraction,43
Paraphrasing For Automatic Evaluation,43
METEOR: An Automatic Metric for MT Evaluation with High Levels of Correlation with Human Judgments,43
A Discriminative Latent Variable Model for Statistical Machine Translation,43
Stochastic Attribute-Value Grammars,42
Syntactic Constraints on Paraphrases Extracted from Parallel Corpora,42
An Unsupervised Approach To Recognizing Discourse Relations,42
Online Large-Margin Training for Statistical Machine Translation,42
Unsupervised Personal Name Disambiguation,42
Generalizing Case Frames Using A Thesaurus And The MDL Principle,42
Discovering Relations Among Named Entities From Large Corpora,42
Classifier Combination for Improved Lexical Disambiguation,42
Advances In Domain Independent Linear Text Segmentation,42
Translating Named Entities Using Monolingual And Bilingual Resources,42
Transformation Based Learning In The Fast Lane,42
Name Tagging With Word Clusters And Discriminative Training,41
Selectional Preference And Sense Disambiguation,41
Estimating Upper And Lower Bounds On The Performance Of Word-Sense Disambiguation Programs,41
Improving Translation Quality by Discarding Most of the Phrasetable,41
The Reliability Of A Dialogue Structure Coding Scheme,41
Mixture-Model Adaptation for SMT,41
An Empirical Model Of Multiword Expression Decomposability,41
Survey Article: Inter-Coder Agreement for Computational Linguistics,41
Building A Large-Scale Annotated Chinese Corpus,41
Is It Harder To Parse Chinese Or The Chinese Treebank?,41
Planning Text For Advisory Dialogues: Capturing Intentional And Rhetorical Information,41
Has A Consensus NL Generation Architecture Appeared And Is It Psycholinguistically Plausible?,41
The Third PASCAL Recognizing Textual Entailment Challenge,40
Learning Question Classifiers,40
PARADISE: A Framework For Evaluating Spoken Dialogue Agents,40
Evaluating Automated And Manual Acquisition Of Anaphora Resolution Strategies,40
A Discriminative Framework For Bilingual Word Alignment,40
Extracting Opinions Opinion Holders And Topics Expressed In Online News Media Text,40
Discriminative Sentence Compression With Soft Syntactic Evidence,40
A Statistical Model For Multilingual Entity Detection And Tracking,40
Generative Models For Statistical Parsing With Combinatory Categorial Grammar,40
Distortion Models For Statistical Machine Translation,40
V-Measure: A Conditional Entropy-Based External Cluster Evaluation Measure,40
The NomBank Project: An Interim Report,40
The Senseval-3 English Lexical Sample Task,40
On Some Pitfalls In Automatic Evaluation And Significance Testing For MT,40
SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems,40
Bayesian Inference for PCFGs via Markov Chain Monte Carlo,40
The ATIS Spoken Language Systems Pilot Corpus,40
The English All-Words Task,40
Fast Methods For Kernel-Based Text Analysis,40
Automatically Labeling Semantic Classes,39
Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,39
Machine Transliteration,39
Stochastic Lexicalized Tree-Adjoining Grammars,39
SemEval-2007 Task 04: Classification of Semantic Relations between Nominals,39
Morphological Analysis For Statistical Machine Translation,39
Personalizing PageRank for Word Sense Disambiguation,39
Text Segmentation Based On Similarity Between Words,39
Recovery Strategies For Parsing Extragrammatical Language,39
Disambiguating Noun Groupings With Respect To Wordnet Senses,39
Arabic Preprocessing Schemes For Statistical Machine Translation,39
A Study on Similarity and Relatedness Using Distributional and WordNet-based Approaches,39
Forest-Based Statistical Sentence Generation,39
Automatic Rule Induction For Unknown-Word Guessing,39
Soft Syntactic Constraints for Hierarchical Phrased-Based Translation,39
Finite-State Transducers In Language And Speech Processing,39
Using Syntactic Dependency As Local Context To Resolve Word Sense Ambiguity,39
Message Understanding Conference-6: A Brief History,39
Fluency Adequacy or HTER? Exploring Different Human Judgments with a Tunable MT Metric,38
SemEval-2007 Task 15: TempEval Temporal Relation Identification,38
The Ups and Downs of Preposition Error Detection in ESL Writing,38
Word-Sense Disambiguation Using Decomposable Models,38
Combining Outputs from Multiple Machine Translation Systems,38
Improving Data Driven Wordclass Tagging by System Combination,38
The First International Chinese Word Segmentation Bakeoff,38
Automatic Tagging Of Arabic Text: From Raw Text To Base Phrase Chunks,38
A Simple Pattern-Matching Algorithm For Recovering Empty Nodes And Their Antecedents,38
Planning Coherent Multisentential Text,38
A Corpus-Based Investigation Of Definite Description Use,38
Painless Unsupervised Learning with Features,38
Better Word Alignments with Supervised ITG Models,38
Online Learning of Relaxed CCG Grammars for Parsing to Logical Form,38
Exploiting Parallel Texts For Word Sense Disambiguation: An Empirical Study,38
Unsupervised Semantic Parsing,38
Stanfordâs Multi-Pass Sieve Coreference Resolution System at the CoNLL-2011 Shared Task,38
Improvements In Automatic Thesaurus Extraction,38
A Maximum Entropy Word Aligner For Arabic-English Machine Translation,37
Effects Of Adjective Orientation And Gradability On Sentence Subjectivity,37
Coreference Resolution Using Competition Learning Approach,37
Incremental Integer Linear Programming For Non-Projective Dependency Parsing,37
An Efficient Probabilistic Context-Free Parsing Algorithm That Computes Prefix Probabilities,37
Exploring Content Models for Multi-Document Summarization,37
Exploiting Semantic Role Labeling WordNet And Wikipedia For Coreference Resolution,37
Improved Word-Level System Combination for Machine Translation,37
Weakly Supervised Learning for Hedge Classification in Scientific Literature,37
The Importance Of Supertagging For Wide-Coverage CCG Parsing,37
The SemEval-2007 WePS Evaluation: Establishing a benchmark for the Web People Search Task,37
A Syntax-Directed Translator With Extended Domain Of Locality,37
Mixed Initiative In Dialogue: An Investigation Into Discourse Segmentation,37
Wide-Coverage Semantic Representations From A CCG Parser,37
Generalizing Word Lattice Translation,37
The Parallel Grammar Project,37
Deterministic Parsing Of Syntactic Non-Fluencies,37
Minimally Supervised Morphological Analysis By Multimodal Alignment,37
NLTK: The Natural Language Toolkit,37
A Tree Sequence Alignment-based Tree-to-Tree Translation Model,37
Efficient Feature-based Conditional Random Field Parsing,37
Efficient Minimum Error Rate Training and Minimum Bayes-Risk Decoding for Translation Hypergraphs and Lattices,36
Long-Distance Dependency Resolution In Automatically Acquired Wide-Coverage PCFG-Based LFG Approximations,36
Ontological Promiscuity,36
Modeling Local Coherence: An Entity-Based Approach,36
Simple Coreference Resolution with Rich Syntactic and Semantic Features,36
The Design Of A Computer Language For Linguistic Information,36
Extracting Semantic Orientations Of Words Using Spin Model,36
Introduction To The Special Issue On The Web As Corpus,36
TINA: A Natural Language System For Spoken Language Applications,36
Categorial Unification Grammars,36
Learning the Scope of Hedge Cues in Biomedical Texts,36
Two Languages are Better than One (for Syntactic Parsing),36
Training Tree Transducers,36
Factored Language Models And Generalized Parallel Backoff,36
A* Parsing: Fast Exact Viterbi Parse Selection,36
A Plan-Based Analysis Of Indirect Speech Act,36
Speed And Accuracy In Shallow And Deep Stochastic Parsing,36
Graph-Based Generation Of Referring Expressions,36
Web-Scale Distributional Similarity and Entity Set Expansion,36
Centroid-Based Summarization Of Multiple Documents: Sentence Extraction Utility-Based Evaluation And User Studies,36
Shared Logistic Normal Distributions for Soft Parameter Tying in Unsupervised Grammar Induction,35
Statistical Machine Translation By Parsing,35
Probabilistic Parsing For German Using Sister-Head Dependencies,35
Using Multiple Knowledge Sources For Word Sense Discrimination,35
Precision And Recall Of Machine Translation,35
A Hierarchical Bayesian Language Model Based On Pitman-Yor Processes,35
Automatic Acquisition Of Domain Knowledge For Information Extraction,35
A Latent Dirichlet Allocation Method for Selectional Preferences,35
The Importance of Syntactic Parsing and Inference in Semantic Role Labeling,35
Joint Unsupervised Coreference Resolution with Markov Logic,35
Single Malt or Blended? A Study in Multilingual Parser Optimization,35
Planning Text For Advisory Dialogues,35
A Fast And Portable Realizer For Text Generation Systems,35
Ranking Algorithms For Named Entity Extraction: Boosting And The Voted Perceptron,35
Never Look Back: An Alternative to Centering,35
OpinionFinder: A System For Subjectivity Analysis,35
Exploring Various Knowledge In Relation Extraction,35
Representing Text Chunks,35
